X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat,CAISO_Name
-13565761.75,4583097.172,105,Other,,CEC,SUBSTATION,307092,Columbia Steel,115,94565,CA,Contra Costa County,Pittsburg,-121.8633112,38.02598429,
-13560445.22,4581335.631,106,PG&E,,CEC,SUBSTATION,305643,Antioch,60,94509,CA,Contra Costa County,Antioch,-121.815552,38.01351802,
-13556801.85,4579362.904,107,PG&E,,CEC,SUBSTATION,304763,Contra Costa,230,94509,CA,Contra Costa County,Antioch,-121.7828231,37.99955468,Contra Costa
-13564767.5,4583281.304,108,Other,,CEC,SUBSTATION,306032,Dow Chemical,,94565,CA,Contra Costa County,Pittsburg,-121.8543797,38.02728725,
-13601799.73,4561917.233,109,PG&E,,CEC,SUBSTATION,301921,East Portal,115,94563,CA,Contra Costa County,Orinda,-122.1870459,37.8759552,
-13614621.1,4567601.809,110,PG&E,,CEC,SUBSTATION,304175,El Cerrito Station G,115,94530,CA,Contra Costa County,El Cerrito,-122.3022222,37.91625224,
-13555810.61,4581685.805,111,PG&E,,CEC,SUBSTATION,304242,Fibreboard,115,94509,CA,Contra Costa County,Antioch,-121.7739186,38.01599634,
-13610402.96,4581136.267,112,PG&E,,CEC,SUBSTATION,306689,Franklin,60,94547,CA,Contra Costa County,Hercules,-122.26433,38.012107,
-13534910.02,4553566.817,113,PG&E,,CEC,SUBSTATION,303302,Herdlyn,60,94514,CA,Contra Costa County,Unincorporated,-121.5861654,37.81672046,
-13588464.75,4579657.008,114,PG&E,,CEC,SUBSTATION,303584,Imhoff,115,94553,CA,Contra Costa County,Unincorporated,-122.0672557,38.00163657,
-13570508.83,4582363.017,115,PG&E,East Bay,CEC,SUBSTATION,309545,Kirker,115,94565,CA,Contra Costa County,Pittsburg,-121.905955,38.02078899,
-13587360.36,4566495.303,116,PG&E,,CEC,SUBSTATION,305570,Lakewood,115,94597,CA,Contra Costa County,Walnut Creek,-122.0573349,37.90841013,
-13550108.51,4565713.027,117,PG&E,,CEC,SUBSTATION,303575,Marsh,60,94513,CA,Contra Costa County,Brentwood,-121.7226957,37.90286541,
-13586794.67,4574234.618,118,PG&E,,CEC,SUBSTATION,307646,Meadow Lane,115,94520,CA,Contra Costa County,Concord,-122.0522531,37.96324326,
-13598881.6,4557942.228,119,PG&E,East Bay,CEC,SUBSTATION,301876,Moraga,230,94563,CA,Contra Costa County,Orinda,-122.1608319,37.84776393,
-13569489.26,4584628.833,120,PG&E,East Bay,CEC,SUBSTATION,306987,Pittsburg,230,94565,CA,Contra Costa County,Pittsburg,-121.896796,38.036822,Pittsburg
-13619728.54,4578849.685,121,PG&E,,CEC,SUBSTATION,302095,Point Pinole,115,94806,CA,Contra Costa County,Richmond,-122.3481031,37.99592158,
-13600803.43,4584700.068,122,Other,,CEC,SUBSTATION,303251,Port Costa Brick,60,94569,CA,Contra Costa County,Unincorporated,-122.178096,38.03732601,
-13566167.79,4583093.127,123,Other,,CEC,SUBSTATION,301740,Posco,,94565,CA,Contra Costa County,Pittsburg,-121.8669588,38.02595566,
-13589919.42,4560323.597,124,PG&E,,CEC,SUBSTATION,309537,Rossmoor,230,94549,CA,Contra Costa County,Walnut Creek,-122.0803233,37.86465422,
-13618473.09,4577348.897,126,PG&E,,CEC,SUBSTATION,307126,San Pablo,,94806,CA,Contra Costa County,Richmond,-122.3368253,37.98529641,
-13573843.39,4543426.623,127,PG&E,East Bay,CEC,SUBSTATION,309611,San Ramon,230,94583,CA,Contra Costa County,San Ramon,-121.9359098,37.74472575,
